design,arm,alpha,group,n,pooled_raw_ratio,mean_raw_ratio,wins,p90,worst,pooled_cross_ratio,mean_downstream_anchor_error_ratio,mean_unweighted_anchor_error_ratio,mean_cosine
full129,paired,-0.2302906268141443,rotation,4,1.0053380193362333,1.0154927640919125,1,1.034090194892434,1.0395142389812981,1.0055928847927824,0.9642738946306937,0.9810171242787307,-0.13336412132710976
full129,paired,-0.2302906268141443,rotation_expansion,8,0.9913303741817311,0.9881322597812715,5,1.0163194480532152,1.0164182236215835,0.9907971189248024,1.1079177329349648,1.0195201280318742,0.16606697681411464
reduced112,analytic_cov,4.0,train_dev,16,0.9999972381332806,1.0000012425884055,10,1.000027139895157,1.000055228399966,0.9999969963886792,1.0000003078935373,0.999999989767927,0.10748776852693731
reduced112,analytic_cov,4.0,calib_dev,8,1.0000087057288782,1.000008016990836,2,1.0000273159921775,1.0000391559004493,1.0000093366254084,1.0000020174191668,1.000000025468669,-0.15722539592707513
reduced112,analytic_cov,4.0,validation,8,0.999992543783217,0.9999830272420843,4,1.0000204014410896,1.0000230221189073,0.9999921576748607,0.9999957416575185,1.0000000092383514,-0.01567812715890307
reduced112,analytic_cov,4.0,expansion,8,1.0000062367544842,0.9999966928822612,1,1.000039105941347,1.000041512297162,1.0000065665775077,0.9999991595787593,1.0000000142336574,-0.28895084768875884
reduced112,analytic_cov,4.0,rotation,4,0.9999825754351308,0.9999889192456258,3,0.999998620880784,1.0000001317037814,0.9999816993059736,0.9999972189691632,0.9999999948871029,0.40541722745881237
reduced112,analytic_cov,4.0,rotation_expansion,8,1.000004047510746,1.0000023765762527,3,1.0000161791912052,1.0000200036532818,1.0000043482162375,1.0000006041260165,1.000000002241524,0.014258213662659565
reduced112,analytic_mean,1.968243318764325,train_dev,16,0.8709538534050519,0.8904293355740687,11,1.17358118268446,1.2660635964981466,0.8596585186079604,0.9033185200264793,0.9997339094454472,0.3727876393400858
reduced112,analytic_mean,1.968243318764325,calib_dev,8,1.166824052298716,1.2203458815522865,4,1.6945253428166909,1.992098697527761,1.1789136449352644,1.0521492464221753,1.0005744588012444,0.06143444829481101
reduced112,analytic_mean,1.968243318764325,validation,8,0.8068222113175598,0.8999079359908717,6,1.1927280160106386,1.3009199387018373,0.7968188060208141,0.9240447717790552,0.9999157909064404,0.32814556307238785
reduced112,analytic_mean,1.968243318764325,expansion,8,0.7803752128356418,0.8240267668317425,7,1.161644127953254,1.5821800109875164,0.7687606284398824,0.8387572176254794,0.9994697201414101,0.4066755941827851
reduced112,analytic_mean,1.968243318764325,rotation,4,1.0529348381958423,1.0957088613771666,1,1.2952474985605582,1.3846287291272326,1.0555964688028387,1.0177540293565448,0.9998968848297696,0.08076984426365635
reduced112,analytic_mean,1.968243318764325,rotation_expansion,8,1.3589993203465098,1.3902227101597049,1,1.8555406907818262,2.1112133671076965,1.3856707917184,1.1356528297680122,0.999794846426546,-0.10362185568518908
reduced112,analytic_total,1.9681980741043694,train_dev,16,0.8709561401742583,0.8904320438004766,11,1.173585742484961,1.2660963066247408,0.8596610055367568,0.903319690921391,0.9997339077441934,0.37278802547689593
reduced112,analytic_total,1.9681980741043694,calib_dev,8,1.1668267919838853,1.2203481050103289,4,1.6945335262939145,1.9920878949746383,1.1789165831630126,1.0521535646037474,1.00057448902086,0.06143424291957668
reduced112,analytic_total,1.9681980741043694,validation,8,0.8068244334579379,0.8999043832374676,6,1.1927164486811834,1.3008939408106006,0.7968211432312061,0.9240417443369279,0.9999158002108831,0.3281463507325963
reduced112,analytic_total,1.9681980741043694,expansion,8,0.7803841814891477,0.8240347428036559,7,1.161648834576148,1.5821971752171107,0.7687700713895018,0.8387595156311687,0.9994697342319294,0.4066751085348984
reduced112,analytic_total,1.9681980741043694,rotation,4,1.0529206414903676,1.095695941657429,1,1.295223899027764,1.3845971584970493,1.0555815582690593,1.01775062099908,0.9998968797371425,0.08077673182972145
reduced112,analytic_total,1.9681980741043694,rotation_expansion,8,1.3589853451858749,1.3902047312942922,1,1.8555028155559725,2.1111732767975693,1.3856557782881198,1.1356523198593853,0.9997948481924522,-0.10362013475441999
reduced112,companion_12,0.07113314070230158,train_dev,16,0.9614358345026733,0.9738572756723509,9,1.1970977088216719,1.2715511215721402,0.9580603353346897,9.309231555228841,1.0193506064169673,0.18090053375909404
reduced112,companion_12,0.07113314070230158,calib_dev,8,0.995294946347556,0.9664202079210045,4,1.0931019447213683,1.1034406514205066,0.9949539752393296,9.768047782689823,1.0352935218487849,0.16255751028038173
reduced112,companion_12,0.07113314070230158,validation,8,0.7474602752288492,0.907369393900314,6,1.081996090830335,1.2519482780539997,0.7343829062536443,12.712058759423138,1.0253941706696013,0.328841913225528
reduced112,companion_12,0.07113314070230158,expansion,8,0.8954825831020795,0.8765541331086322,7,0.9526200112540172,1.0292982255072813,0.8899553091770316,6.907899538545449,1.027718686682923,0.4313045842447788
reduced112,companion_12,0.07113314070230158,rotation,4,0.9313418008397379,0.9467084596046257,2,1.0389222182831512,1.0550605881318131,0.9278895797593575,7.647454454975272,1.0066073155095985,0.2954126054514884
reduced112,companion_12,0.07113314070230158,rotation_expansion,8,1.029189159378892,1.0493327043470733,5,1.3364622645153628,1.5886175480523244,1.0313577368235292,16.04267995436524,1.0270868942094418,0.1388444615946167
reduced112,companion_17,0.116793628564868,train_dev,16,0.8934404755304082,0.965392334474837,10,1.250756889578772,1.4595852667249443,0.8841133818010554,8.34406390919364,1.0129337917577024,0.2594796417702784
